,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
2810,4.0,1.0,121.66,가을,13.0,월요일,구로구,1.6,교육시설,N,N,N,N,30.3,3.1,68.0,0.0,0.0,497.61
2811,3.0,1.0,185.0,가을,14.0,월요일,강동구,1.2,생활서비스,N,N,N,N,30.1,1.8,71.0,0.0,0.0,360.08
2812,5.0,0.0,218.0,가을,15.0,월요일,금천구,3.0,주거,N,N,N,N,30.9,2.3,67.0,0.0,0.0,637.04
2814,5.0,1.0,380.2,가을,15.0,월요일,광진구,1.9,판매/업무시설,N,Y,N,N,30.9,2.3,67.0,0.0,0.0,1085.0
2815,7.0,2.0,530.52,가을,15.0,월요일,강남구,0.6,판매/업무시설,N,N,N,N,30.9,2.3,67.0,0.0,0.0,5572.98
2816,5.0,0.0,123.67,가을,19.0,월요일,성북구,1.5,생활서비스,Y,N,N,N,30.5,3.1,71.0,0.0,0.0,468.15
2817,12.0,1.0,121.52,가을,20.0,월요일,영등포구,1.0,주거,N,Y,N,N,29.9,2.6,73.0,0.0,0.0,9390.16
2819,1.0,0.0,44.0,가을,0.0,화요일,강북구,2.0,생활서비스,N,N,N,N,28.4,1.7,74.0,0.0,0.0,44.0
2820,4.0,1.0,217.49,가을,5.0,화요일,송파구,1.7,판매/업무시설,Y,Y,Y,N,26.7,0.7,79.0,0.0,0.0,1143.78
2821,5.0,1.0,141.0,가을,8.0,화요일,마포구,2.3,생활서비스,N,N,N,N,27.1,2.2,79.0,0.0,0.0,848.0
2822,15.0,2.0,84.84,가을,9.0,화요일,강남구,1.0,주거,N,Y,N,N,27.9,0.8,78.0,0.0,0.0,6960.85
2823,8.0,1.0,178.0,가을,11.0,화요일,강남구,2.8,판매/업무시설,N,N,N,N,30.4,1.0,71.0,0.0,0.0,1330.14
2824,15.0,1.0,5042.88,가을,11.0,화요일,강서구,1.5,주거,N,Y,N,N,30.4,1.0,71.0,0.0,0.0,11674.53
2827,4.0,1.0,94.59,가을,16.0,화요일,성동구,3.5,산업시설,N,N,N,N,32.9,0.9,62.0,0.0,0.0,494.34
2828,15.0,0.0,582.01,가을,18.0,화요일,성동구,1.5,주거,N,Y,N,N,30.8,3.6,70.0,0.0,0.0,5478.8
2829,15.0,2.0,724.9,가을,18.0,화요일,성북구,1.7,주거,N,Y,N,N,30.8,3.6,70.0,0.0,0.0,7801.12
